Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
2015-04-18,2015-04-22,Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs,4.5107496103686,1,0.0,17.0981
2016-12-11,2016-12-17,Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners,2.7887081041196646,7,0.0,6.2566
2016-12-11,2016-12-17,Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones,6.938235986235724,5,0.0,298.6855
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage,5.345010094540019,6,0.0,52.14
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,3.5085558999826545,5,0.0,15.552
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs,5.769601425693419,5,0.1,7.098
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper,2.7447035187502458,2,0.0,6.9888
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories,3.4339872044851463,2,0.0,3.3
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders,3.901568547524287,4,0.2,16.362
2016-06-17,2016-06-18,First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art,0.9858167945227653,1,0.0,0.84
2015-11-24,2015-11-30,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories,2.7067159780890733,2,0.0,6.1512
2015-11-24,2015-11-30,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,3.2892970091639273,6,0.2,9.3612
2015-11-24,2015-11-30,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,4.9953862833335165,3,0.0,68.9631
2015-11-24,2015-11-30,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings,4.391481793444637,4,0.0,22.3328
2015-04-30,2015-05-05,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs,5.36651325386079,5,0.3,-15.2225
2014-12-05,2014-12-10,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art,7.015733964240798,8,0.2,111.3024
2014-12-05,2014-12-10,Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones,5.129709347881841,4,0.2,62.988
2016-06-04,2016-06-06,First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper,4.342245764662037,2,0.0,35.6636
2016-09-18,2016-09-23,Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders,1.72561966672351,1,0.2,1.731
2017-09-14,2017-09-17,Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper,2.998229153752578,3,0.0,8.763
2015-04-26,2015-05-02,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs,6.724956808482918,8,0.2,-114.3912
2015-04-26,2015-05-02,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings,4.585375558659912,2,0.2,1.213
2015-04-26,2015-05-02,Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage,4.3011419059334175,1,0.2,-18.196
2017-12-09,2017-12-11,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,0.8100409320314447,3,0.8,-1.9344
2017-12-09,2017-12-11,First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,2.370991125658106,3,0.6,-5.8248
2017-12-09,2017-12-11,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage,3.3407394126250414,3,0.2,2.724
2014-11-26,2014-12-01,Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,3.0106208860477417,5,0.6,-14.475
2016-06-12,2016-06-15,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances,5.34309950931993,1,0.0,56.2032
2016-06-12,2016-06-15,First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Binders,2.8758219768814333,3,0.0,8.0352
2014-10-12,2014-10-16,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Art,2.766319109226186,5,0.0,4.172
2014-10-12,2014-10-16,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,3.1086144306106633,1,0.0,6.2031
2015-09-03,2015-09-08,Standard Class,Corporate,United States,Durham,North Carolina,27707,South,Office Supplies,Envelopes,5.308188486343299,7,0.2,62.8075
2017-11-13,2017-11-16,First Class,Home Office,United States,Chicago,Illinois,60623,Central,Office Supplies,Storage,5.444044092872437,3,0.2,-48.9549
2017-05-28,2017-05-30,Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Furniture,Chairs,5.713600783593539,2,0.0,33.2156
2017-10-26,2017-11-02,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Technology,Accessories,3.0440461338325413,1,0.0,6.7966
2017-10-26,2017-11-02,Standard Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Labels,1.9685099809725544,2,0.0,2.9568
2016-04-05,2016-04-10,Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Storage,5.071215993379483,7,0.2,13.8572
2016-09-17,2016-09-22,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Art,3.0492730404820207,3,0.0,6.633
2016-09-17,2016-09-22,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Technology,Phones,4.311926006994392,2,0.2,8.2782
2016-09-17,2016-09-22,Standard Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Paper,2.012232791986386,1,0.0,3.1104
2015-01-31,2015-02-05,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,2.6361960973342264,2,0.0,6.2208
2015-01-31,2015-02-05,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Furniture,Furnishings,3.9952606039982017,3,0.0,16.5354
2015-01-31,2015-02-05,Second Class,Consumer,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Binders,3.5251833614431467,2,0.0,16.1504
2017-11-06,2017-11-12,Standard Class,Home Office,United States,Portland,Oregon,97206,West,Office Supplies,Binders,1.899417343934565,1,0.7,-3.788
2017-11-09,2017-11-11,Second Class,Home Office,United States,New York City,New York,10009,East,Furniture,Furnishings,4.580160022983923,7,0.0,40.5426
2017-06-17,2017-06-20,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,3.957225790258975,3,0.2,17.9592
2016-09-06,2016-09-11,Standard Class,Corporate,United States,Saint Paul,Minnesota,55106,Central,Office Supplies,Appliances,4.36792771029438,6,0.0,22.5852
2016-08-29,2016-09-02,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Paper,4.183941482700448,7,0.2,22.6184
2016-08-29,2016-09-02,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Technology,Accessories,4.574463525208929,3,0.2,-10.7973
2016-08-29,2016-09-02,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Binders,1.0253244928982774,3,0.8,-3.0396
2016-12-01,2016-12-04,Second Class,Consumer,United States,Rochester,Minnesota,55901,Central,Office Supplies,Paper,3.2156706939192525,4,0.0,11.7208
2015-11-13,2015-11-17,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Technology,Accessories,5.480205496092637,6,0.2,-26.8758
2015-11-13,2015-11-17,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Furniture,Furnishings,4.638218040034292,3,0.2,-3.8385
2015-11-13,2015-11-17,Standard Class,Consumer,United States,Aurora,Colorado,80013,West,Office Supplies,Binders,3.6344760652345496,3,0.7,-25.8174
2017-11-23,2017-11-28,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Accessories,4.318980332956246,8,0.2,17.6016
2017-11-23,2017-11-28,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Technology,Phones,3.367019929860569,1,0.2,2.0994
2017-11-23,2017-11-28,Standard Class,Consumer,United States,Charlotte,North Carolina,28205,South,Office Supplies,Art,1.4595448228594832,1,0.2,1.0738
2015-10-15,2015-10-20,Standard Class,Home Office,United States,Orland Park,Illinois,60462,Central,Technology,Accessories,5.831765168350307,5,0.2,67.992
2017-12-25,2017-12-30,Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,3.7602694502006093,2,0.0,10.9096
2016-11-03,2016-11-10,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Art,4.343285806357451,2,0.0,22.788
2016-11-03,2016-11-10,Standard Class,Consumer,United States,Urbandale,Iowa,50322,Central,Office Supplies,Binders,3.3407394126250414,6,0.0,13.3476
2014-08-25,2014-08-27,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,3.7159107931649666,14,0.2,14.5348
2014-08-25,2014-08-27,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,1.7439688053917064,2,0.2,1.652
2014-08-25,2014-08-27,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,3.217915363773076,3,0.2,7.4925
2014-08-25,2014-08-27,Second Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Envelopes,4.8787330498789885,6,0.2,44.0316
2015-03-02,2015-03-06,Standard Class,Consumer,United States,Seattle,Washington,98103,West,Furniture,Tables,6.670170452603868,3,0.0,165.3813
2015-04-05,2015-04-10,Standard Class,Corporate,United States,Bristol,Tennessee,37620,South,Office Supplies,Binders,5.067607764723911,1,0.7,-115.7156
2016-06-12,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Furniture,Furnishings,3.8720339972117825,3,0.0,18.3456
2016-06-12,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Binders,3.460723360976182,4,0.0,13.878
2016-06-12,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Storage,5.427413939882447,6,0.0,63.4368
2016-06-12,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Office Supplies,Envelopes,4.753762590037918,9,0.0,51.759
2016-06-12,2016-06-15,First Class,Consumer,United States,Wilmington,Delaware,19805,East,Technology,Phones,4.234686046775173,7,0.0,19.7316
2014-12-26,2014-12-28,Second Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs,6.399522956368744,3,0.3,-8.5794
2014-09-20,2014-09-25,Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,6.427620502536943,6,0.5,-407.682
2017-11-05,2017-11-12,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,1.2202397767898079,2,0.7,-1.8308
2017-11-05,2017-11-12,Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,5.50122555695038,7,0.2,30.499
2016-11-06,2016-11-10,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Chairs,4.411876656642767,2,0.2,-9.1602
2016-11-06,2016-11-10,Second Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Furnishings,5.478803907396261,3,0.0,26.2416
2017-02-02,2017-02-05,First Class,Corporate,United States,Columbus,Ohio,43229,East,Technology,Phones,4.110381939919725,5,0.4,-11.994
2017-02-02,2017-02-05,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,4.3732885687305965,2,0.2,29.364
2017-02-02,2017-02-05,First Class,Corporate,United States,Columbus,Ohio,43229,East,Office Supplies,Fasteners,3.1115578390595813,9,0.2,6.9732
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,3.046425387869509,3,0.0,9.6192
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Paper,3.5956670723917576,1,0.0,16.6568
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Art,2.5273273656719524,4,0.0,3.456
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Fasteners,1.6134299337036377,2,0.0,1.9698
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Binders,4.346088527868252,3,0.2,26.6616
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,95661,West,Office Supplies,Supplies,4.202899968776446,6,0.0,18.4464
2016-10-13,2016-10-19,Standard Class,Consumer,United States,Roseville,California,95661,West,Furniture,Furnishings,3.786913194385302,14,0.0,20.6976
2016-09-05,2016-09-07,Second Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,4.428433007488037,2,0.2,10.35
2017-09-18,2017-09-23,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Art,2.2844211223663744,3,0.0,2.3814
2017-09-18,2017-09-23,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Envelopes,2.4731713935695794,3,0.0,5.1042
2017-09-18,2017-09-23,Standard Class,Corporate,United States,San Francisco,California,94122,West,Office Supplies,Paper,4.974662633637438,3,0.0,68.976
2017-12-22,2017-12-27,Standard Class,Consumer,United States,Independence,Missouri,64055,Central,Office Supplies,Appliances,6.733913665620719,3,0.0,218.2518
2015-09-07,2015-09-12,Standard Class,Consumer,United States,Pasadena,California,91104,West,Office Supplies,Storage,6.511641312348043,7,0.0,20.1579
2014-10-22,2014-10-28,Standard Class,Home Office,United States,Newark,Ohio,43055,East,Furniture,Furnishings,4.552697248726974,4,0.2,12.9096
2016-12-05,2016-12-09,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,5.954411482905271,11,0.0,103.8015
2016-12-05,2016-12-09,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Technology,Phones,5.017081141579645,3,0.0,5.9988
2016-12-05,2016-12-09,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Furniture,Chairs,7.577040002277407,8,0.0,585.552
2016-12-05,2016-12-09,Standard Class,Corporate,United States,Franklin,Wisconsin,53132,Central,Office Supplies,Binders,5.150687049544013,5,0.0,80.6285
2016-03-13,2016-03-16,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Office Supplies,Appliances,5.068400930946398,5,0.2,17.766
2016-03-13,2016-03-16,First Class,Home Office,United States,Scottsdale,Arizona,85254,West,Technology,Phones,5.3190215481063285,2,0.2,15.2388
2015-05-31,2015-06-02,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,4.083957469335614,7,0.0,26.271
2015-05-31,2015-06-02,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Paper,4.668332760945732,4,0.0,48.5392
2015-05-31,2015-06-02,First Class,Corporate,United States,San Jose,California,95123,West,Office Supplies,Storage,4.405254760793088,6,0.0,21.0288
2015-05-28,2015-06-03,Standard Class,Home Office,United States,Seattle,Washington,98105,West,Office Supplies,Art,2.0320878452963655,3,0.0,1.7901
2014-03-01,2014-03-06,Second Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,6.128108590405284,2,0.2,51.4764
2016-11-20,2016-11-24,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Office Supplies,Labels,2.7485521444115397,2,0.0,6.8714
2016-11-20,2016-11-24,Standard Class,Consumer,United States,Edmond,Oklahoma,73034,Central,Technology,Phones,6.852168570542386,7,0.0,236.2325
2016-05-11,2016-05-12,First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Paper,1.943048916774281,1,0.0,2.691
2015-12-28,2015-12-31,Second Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Accessories,4.0142907433757244,2,0.2,1.3596
2016-11-16,2016-11-20,Standard Class,Consumer,United States,Carlsbad,New Mexico,88220,West,Office Supplies,Envelopes,3.380994674344636,5,0.0,13.348
2016-11-07,2016-11-11,Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,3.3562000157314196,2,0.2,9.688
2014-09-08,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,2.3920600994216485,3,0.2,2.7324
2014-09-08,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Machines,9.007116107819794,8,0.4,-1359.992
2014-09-08,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Storage,5.6237575446024195,3,0.2,-58.6347
2014-09-08,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Furniture,Chairs,7.462249402126681,9,0.3,-24.858
2014-09-08,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Art,3.498445077209431,6,0.2,6.8136
2014-09-08,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Office Supplies,Appliances,5.1872740677547124,5,0.8,-453.849
2014-09-08,2014-09-12,Standard Class,Consumer,United States,San Antonio,Texas,78207,Central,Technology,Phones,4.976568211479705,3,0.2,8.9985
2014-08-05,2014-08-09,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,3.0883114548470845,3,0.0,9.8418
2014-08-05,2014-08-09,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,4.718141664647253,2,0.0,53.2608
2014-08-05,2014-08-09,Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Chairs,5.83230467553532,7,0.2,21.259
2014-09-14,2014-09-19,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Appliances,3.9787092186231763,2,0.8,-131.12
2014-09-14,2014-09-19,Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Office Supplies,Labels,3.052112606990099,4,0.2,6.552
2017-04-21,2017-04-25,Second Class,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Appliances,4.587657734236793,4,0.8,-243.16
2015-11-21,2015-11-23,Second Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Chairs,5.98595439405932,7,0.3,-11.3372
2015-11-21,2015-11-23,Second Class,Consumer,United States,Newark,Ohio,43055,East,Office Supplies,Supplies,2.826129489167811,5,0.2,-3.7715
2015-12-15,2015-12-19,Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,1.4539530095937054,1,0.0,1.4104
2014-12-05,2014-12-09,Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Office Supplies,Storage,3.2509944547496605,2,0.2,1.8612
2014-12-05,2014-12-09,Second Class,Corporate,United States,Decatur,Illinois,62521,Central,Technology,Accessories,6.015532574441682,7,0.2,76.6395
2014-11-19,2014-11-24,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,6.224479218217454,4,0.0,131.0296
2014-11-19,2014-11-24,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Phones,5.016948656152848,5,0.0,41.986
2014-11-19,2014-11-24,Second Class,Home Office,United States,Monroe,Louisiana,71203,South,Technology,Accessories,3.4011973816621555,2,0.0,7.25
2016-11-28,2016-12-02,Standard Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,2.0992441689760155,2,0.0,3.4368
2014-08-26,2014-08-30,Standard Class,Home Office,United States,Los Angeles,California,90032,West,Technology,Accessories,5.180659323079804,8,0.0,22.984
2016-07-16,2016-07-22,Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Storage,3.643463590583454,3,0.2,3.7224
2016-07-16,2016-07-22,Standard Class,Corporate,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Paper,3.0452840523832387,3,0.2,6.255
2015-10-12,2015-10-14,First Class,Home Office,United States,New York City,New York,10035,East,Furniture,Bookcases,6.802545863019288,4,0.2,112.392
2015-10-12,2015-10-14,First Class,Home Office,United States,New York City,New York,10035,East,Technology,Phones,4.287166353649922,6,0.0,20.0928
